,id,answer
0,01-0203,A. 4 500 000 đồng
1,01-0206,A. 24 phút
2,01-0207,C. 6 lần
3,01-0209,B. 20%
4,01-0210,A. 3m
5,01-0211,"B. 5,621"
6,01-0214,B. 4%
7,01-0219,D. 7 giờ 77 phút
8,01-0221,"D. 7,5"
9,01-0222,B. 679
10,01-0223,A. 80
11,01-0224,"C. 398,7"
12,01-0225,A. 70
13,01-0227,A. 5 đơn vị
14,01-0232,C. 1500%
15,01-0234,C. \frac{1}{2}
16,01-0237,C. 350
17,01-0239,C. 5019
18,01-0240,"B. 0,2 giờ"
19,01-0241,"D. 0,36992"
20,01-0243,D. 50 000 000
21,01-0245,"B. 35,4"
22,01-0246,"C. 10,05"
23,01-0249,"A. 30,5"
24,01-0254,D. 1 giờ 50 phút
25,01-0256,A. 15 dm^{2}
26,01-0257,"A. 9,42 dm"
27,01-0258,"C. 6,28 cm^{2}"
28,01-0259,A. 1380 dm^{3}
29,01-0264,C. 46%
30,01-0266,"A. 3,76"
31,01-0268,"C. 201,700"
32,01-0269,"A. 0,79"
33,01-0273,C. 30 phút
34,01-0275,"C. 4,3"
35,01-0277,C. 30 phút
36,01-0285,"B. 1,234"
37,01-0292,None
38,01-0294,"A. 3,48"
39,01-0296,None
40,01-0302,D. \frac{1}{8}
41,01-0303,C. 8
42,01-0305,B. 8 cm
43,01-0314,"D. 707,65"
44,01-0315,D. 6dm
45,01-0316,"D. 55,000017"
46,01-0317,A. 150%
47,01-0321,D. \frac{9}{10000}
48,01-0322,C. 480
49,01-0324,A. 25 m^{3}
50,01-0326,D. 60
51,01-0329,D. 5100 m/phút
52,01-0330,None
53,01-0336,A. 10
54,01-0337,"A. 2,83"
55,01-0339,None
56,01-0340,A. 5024 dm^{2}
57,01-0343,D. 6dm
58,01-0346,"D. 55,027"
59,01-0347,C. 80%
60,01-0351,C. 100
61,01-0353,"D. 55,000017"
62,01-0358,None
63,01-0362,"C. 3,5%"
64,01-0364,None
65,01-0373,A. 23
66,01-0375,D. 346
67,01-0376,"B. 4,8 dm^{2}"
68,01-0378,A. 7
69,01-0380,C. 417
70,01-0384,None
71,01-0386,None
72,01-0387,"B. 1527,4"
73,01-0389,A. Chục
74,01-0390,C. 50 000
75,01-0391,"D. 251,165"
76,01-0394,"B. 26,6%"
